model,feature,layer,accuracy,macro_f1,majority,majority_acc,n,n_classes
base,voicing,6,0.875968992248062,0.8715983516811658,0.3701171875,0.5875968992248062,645,2
base,nasal,6,0.8979475484606614,0.7632566146403185,0.47120892372625867,0.8911060433295325,1754,2
base,manner,6,0.7787356321839081,0.7434115592325655,0.09717186366932559,0.32088122605363983,1044,5
base,place,6,0.8793103448275862,0.832987012987013,0.2707622298065984,0.6839080459770115,1044,3
xlsr53,voicing,12,0.8790697674418605,0.8743506493506493,0.3701171875,0.5875968992248062,645,2
xlsr53,nasal,12,0.9099201824401368,0.7808886780518659,0.47120892372625867,0.8911060433295325,1754,2
xlsr53,manner,12,0.8074712643678161,0.7819904523564059,0.09717186366932559,0.32088122605363983,1044,5
xlsr53,place,12,0.8869731800766284,0.8417021153690452,0.2707622298065984,0.6839080459770115,1044,3
xlsr300m,voicing,12,0.8496124031007752,0.8436457419611194,0.3701171875,0.5875968992248062,645,2
xlsr300m,nasal,12,0.9007981755986317,0.7675462247854421,0.47120892372625867,0.8911060433295325,1754,2
xlsr300m,manner,12,0.7883141762452107,0.7651433154305727,0.09717186366932559,0.32088122605363983,1044,5
xlsr300m,place,12,0.882183908045977,0.8402146311624176,0.2707622298065984,0.6839080459770115,1044,3
