model,feature,test,layer,accuracy,macro_f1,majority,majority_acc,n,n_classes
base,voicing,de_de,6,0.7338967565098219,0.7178848317955024,0.3723297491039427,0.5931932389218821,4378,2
base,voicing,es_419,6,0.6249037227214378,0.6150229923603246,0.40324804657576224,0.6757381258023106,3895,2
base,nasal,de_de,6,0.8601907630522089,0.749598437443874,0.462565762849049,0.8606927710843374,11952,2
base,nasal,es_419,6,0.9046177793151159,0.7620571470997624,0.47398107714701604,0.9010722933241093,11564,2
base,manner,de_de,6,0.5956284153005464,0.4790479910127008,0.08885013623978202,0.2855541544066134,7137,5
base,manner,es_419,6,0.5578366784127471,0.5399680887433235,0.10087076076993584,0.33721464685153973,6527,5
base,place,de_de,6,0.7423287095418243,0.6726581125248535,0.2442964935641367,0.5783942833123161,7137,3
base,place,es_419,6,0.8032786885245902,0.7118477752523457,0.27444264166816895,0.6997089014861345,6527,3
xlsr53,voicing,de_de,12,0.7295568752855185,0.7193730737714148,0.3723297491039427,0.5931932389218821,4378,2
xlsr53,voicing,es_419,12,0.7062901155327342,0.6898405280760351,0.40324804657576224,0.6757381258023106,3895,2
xlsr53,nasal,de_de,12,0.8585174029451138,0.720226171425083,0.462565762849049,0.8606927710843374,11952,2
xlsr53,nasal,es_419,12,0.7941888619854721,0.6425443955685891,0.47398107714701604,0.9010722933241093,11564,2
xlsr53,manner,de_de,12,0.5565363598150483,0.43628326674511736,0.08885013623978202,0.2855541544066134,7137,5
xlsr53,manner,es_419,12,0.5861804810785965,0.551600617805827,0.10087076076993584,0.33721464685153973,6527,5
xlsr53,place,de_de,12,0.7477931904161412,0.6837804303081537,0.2442964935641367,0.5783942833123161,7137,3
xlsr53,place,es_419,12,0.8136969511260916,0.7188906313453347,0.27444264166816895,0.6997089014861345,6527,3
xlsr300m,voicing,de_de,12,0.7414344449520329,0.7134568262422625,0.3723297491039427,0.5931932389218821,4378,2
xlsr300m,voicing,es_419,12,0.7406931964056482,0.6783307985412681,0.40324804657576224,0.6757381258023106,3895,2
xlsr300m,nasal,de_de,12,0.8711512717536813,0.7487613521674596,0.462565762849049,0.8606927710843374,11952,2
xlsr300m,nasal,es_419,12,0.8791940505015565,0.7130755272811136,0.47398107714701604,0.9010722933241093,11564,2
xlsr300m,manner,de_de,12,0.6121619728177106,0.49460558698724866,0.08885013623978202,0.2855541544066134,7137,5
xlsr300m,manner,es_419,12,0.5569174199479087,0.542970144719118,0.10087076076993584,0.33721464685153973,6527,5
xlsr300m,place,de_de,12,0.7392461818691327,0.6694329729002034,0.2442964935641367,0.5783942833123161,7137,3
xlsr300m,place,es_419,12,0.799448444921097,0.7071016425113653,0.27444264166816895,0.6997089014861345,6527,3
