model,feature_a,feature_b,mean_diff,ci_lo,ci_hi,n,sig
base,voicing,nasal,0.13672714746147088,0.012354193125308909,0.2461180122319553,45,True
base,voicing,manner,-0.04576876250797657,-0.1382550855261194,0.036473610236916275,45,False
base,voicing,place,0.041145282424558095,-0.05937886629186898,0.11153137455238735,45,False
base,nasal,manner,-0.18249590996944748,-0.27078989367201584,-0.07838832350689856,45,True
base,nasal,place,-0.0955818650369128,-0.1637722088282861,-0.03948689804039116,45,True
base,manner,place,0.08691404493253466,0.013804622894408619,0.15613255033074955,45,True
xlsr300m,voicing,nasal,0.06719434628272766,0.004654287784381078,0.15874063747270525,45,True
xlsr300m,voicing,manner,-0.08490413841154114,-0.17574665552731844,0.04517481572267833,45,False
xlsr300m,voicing,place,-0.01621093327118607,-0.10740106738949445,0.11990709806892293,45,False
xlsr300m,nasal,manner,-0.15209848469426882,-0.23490685598480043,-0.0501320870081598,45,True
xlsr300m,nasal,place,-0.08340527955391373,-0.12967671545476622,-0.01992319471681792,45,True
xlsr300m,manner,place,0.06869320514035507,-0.06672734530912687,0.20675199667718294,45,False
xlsr53,voicing,nasal,0.11865569018427015,0.058749467382574624,0.2133458489303514,45,True
xlsr53,voicing,manner,-0.08488844347142739,-0.16701501963599583,0.03175011125462383,45,False
xlsr53,voicing,place,0.0035528337499388194,-0.06952797193042949,0.12154406817028766,45,False
xlsr53,nasal,manner,-0.2035441336556975,-0.30370953548607393,-0.09846367173378126,45,True
xlsr53,nasal,place,-0.1151028564343313,-0.1719616273138889,-0.05594422215342167,45,True
xlsr53,manner,place,0.0884412772213662,-0.03708628292118905,0.20524118043412395,45,False
